probe	class	dirct
ESR1	CS1	up
AGR3	CS1	up
FOXA1	CS1	up
MLPH	CS1	up
LINC00504	CS1	up
CT62	CS1	up
TBC1D9	CS1	up
TTC6	CS1	up
ERBB4	CS1	up
XBP1	CS1	up
GATA3	CS1	up
THSD4	CS1	up
AGR2	CS1	up
DNALI1	CS1	up
PRR15	CS1	up
CCDC170	CS1	up
SLC44A4	CS1	up
AL078582.2	CS1	up
C5AR2	CS1	up
CA12	CS1	up
TFF1	CS1	up
AC007255.1	CS1	up
TFF3	CS1	up
AFF3	CS1	up
SPDEF	CS1	up
KCNJ11	CS1	up
AC106738.2	CS1	up
SRARP	CS1	up
FSIP1	CS1	up
SLC22A5	CS1	up
GTF2IP7	CS1	up
CFAP99	CS1	up
ZNF552	CS1	up
FBP1	CS1	up
AC005077.4	CS1	up
ABCC8	CS1	up
DEGS2	CS1	up
SLC7A8	CS1	up
FAM198B-AS1	CS1	up
DACH1	CS1	up
SCUBE2	CS1	up
AC008268.1	CS1	up
RAD17P1	CS1	up
DYNLRB2	CS1	up
AR	CS1	up
AC092667.1	CS1	up
LINC02568	CS1	up
AC103760.1	CS1	up
AC096733.2	CS1	up
ABAT	CS1	up
ANXA9	CS1	up
AC124067.4	CS1	up
ZMYND10	CS1	up
CAPN8	CS1	up
BBS4	CS1	up
TTC8	CS1	up
SMIM14	CS1	up
LINC02747	CS1	up
INPP4B	CS1	up
DRAIC	CS1	up
ACADSB	CS1	up
CCDC125	CS1	up
CMBL	CS1	up
CLSTN2	CS1	up
NUDT12	CS1	up
LMX1B	CS1	up
ANKRA2	CS1	up
AC013726.1	CS1	up
MYB	CS1	up
MAPT	CS1	up
GPR160	CS1	up
ARSG	CS1	up
NAT1	CS1	up
SLC7A13	CS1	up
NCBP2L	CS1	up
IL6ST	CS1	up
SYTL5	CS1	up
FAM47E	CS1	up
SIDT1	CS1	up
LINC01117	CS1	up
AC093838.1	CS1	up
NEK5	CS1	up
GREB1	CS1	up
LONRF2	CS1	up
GATA3-AS1	CS1	up
RAB6C	CS1	up
CXXC5	CS1	up
TSPAN1	CS1	up
AL136296.1	CS1	up
UBXN10	CS1	up
KCNK15	CS1	up
TNRC18P1	CS1	up
RHOB	CS1	up
CFAP94	CS1	up
HHAT	CS1	up
SERPINA11	CS1	up
AC055854.1	CS1	up
LINC01843	CS1	up
RUNDC1	CS1	up
SLC39A6	CS1	up
FOXCUT	CS2	up
LINC02732	CS2	up
PSAT1	CS2	up
ART3	CS2	up
NKX1-2	CS2	up
YBX1	CS2	up
KIRREL3-AS1	CS2	up
TTLL4	CS2	up
CCNE1	CS2	up
FOXC1	CS2	up
FZD9	CS2	up
A2ML1	CS2	up
AC005863.1	CS2	up
CT83	CS2	up
SFT2D2	CS2	up
POU5F1	CS2	up
AC016995.1	CS2	up
EEF1DP5	CS2	up
SRSF12	CS2	up
CENPW	CS2	up
TLX3	CS2	up
GABBR2	CS2	up
B3GNT5	CS2	up
LINC00393	CS2	up
PDSS1	CS2	up
ENO1	CS2	up
YEATS2	CS2	up
CHODL	CS2	up
LINC00511	CS2	up
NDUFB4P11	CS2	up
POU4F1	CS2	up
AC108925.1	CS2	up
SUV39H2	CS2	up
LINC01956	CS2	up
PRSS33	CS2	up
KCMF1	CS2	up
SLC26A9	CS2	up
AC022784.1	CS2	up
LPIN1	CS2	up
AC092448.1	CS2	up
PRKX	CS2	up
DMRT1	CS2	up
AC012073.1	CS2	up
AC008514.1	CS2	up
MICALL1	CS2	up
LINC01667	CS2	up
VGLL1	CS2	up
MTHFD1L	CS2	up
IL12RB2	CS2	up
CDC123	CS2	up
C11orf86	CS2	up
PPP1R14C	CS2	up
AMER1	CS2	up
CDK2AP1	CS2	up
HORMAD1	CS2	up
MSL3	CS2	up
RPL37P3	CS2	up
CDC20	CS2	up
BCL11A	CS2	up
ODC1	CS2	up
LIN28B	CS2	up
PUM3	CS2	up
AP001783.1	CS2	up
EN1	CS2	up
ESYT3	CS2	up
LINC02487	CS2	up
SLC43A3	CS2	up
GPR156	CS2	up
AC091043.1	CS2	up
OPRK1	CS2	up
SKP2	CS2	up
YBX1P10	CS2	up
PLS3-AS1	CS2	up
AL353135.2	CS2	up
NR2E1	CS2	up
CTPS1	CS2	up
IGF2BP3	CS2	up
AL589182.1	CS2	up
SLC6A2	CS2	up
LEMD1	CS2	up
PHGDH	CS2	up
CLCN4	CS2	up
IGF2BP2	CS2	up
UQCRH	CS2	up
FAM171A1	CS2	up
LINC02323	CS2	up
AC108025.1	CS2	up
GPN1	CS2	up
LINC02065	CS2	up
CDCA7	CS2	up
RIPK2	CS2	up
SOX11	CS2	up
AMD1	CS2	up
PTPN2	CS2	up
ORC1	CS2	up
OLAH	CS2	up
TBX19	CS2	up
CHST2	CS2	up
PRDM13	CS2	up
AC093627.1	CS2	up
