probe	class	dirct
PIP5K1A	CS1	down
DNAJC5B	CS1	down
LUC7L;Z69890.1	CS1	down
PLA2G4C	CS1	down
CYP27C1	CS1	down
COPS5;CSPP1	CS1	down
OSGIN2;RNU6-925P	CS1	down
RP11-299M14.2	CS1	down
WSB1	CS1	down
FKBP7;PLEKHA3	CS1	down
CDYL	CS1	down
RPUSD3;TTLL3	CS1	down
LINC00989	CS1	down
ANKRD55	CS1	down
CDNF	CS1	down
RP11-418J17.1;WARS2	CS1	down
BCAR4	CS1	down
ENDOG	CS1	down
BCL10;RP11-131L23.1	CS1	down
FPGT-TNNI3K;TNNI3K	CS1	down
KRT18P56	CS1	down
CTC-454I21.3;ZNF585B	CS1	down
PIGH	CS1	down
NUP43;PCMT1	CS1	down
ZNF517	CS1	down
PRSS23	CS1	down
OCEL1	CS1	down
CTB-66B24.1;RFX2	CS1	down
ST8SIA6;ST8SIA6-AS1	CS1	down
CRISP3	CS1	down
LRRIQ4	CS1	down
NPSR1-AS1	CS1	down
RYR1	CS1	down
AL022578.1;ZNF81	CS1	down
IGHE;RP11-731F5.1	CS1	down
MELK	CS1	down
RBM12B;RP11-10N23.5	CS1	down
AL031721.1;UNKL	CS1	down
TBC1D31	CS1	down
PROCA1	CS1	down
NME1-NME2;NME2	CS1	down
AC010145.4	CS1	down
RP11-15J22.8;ZCCHC8	CS1	down
AC007682.1;AC087073.1	CS1	down
GORASP2	CS1	down
SORT1	CS1	down
HIF1A-AS2;RP11-618G20.1	CS1	down
NTAN1;PDXDC1	CS1	down
LPIN3	CS1	down
SSX2IP	CS1	down
RP11-306I1.2	CS1	down
AC073464.4;CNN2P8	CS1	down
FBXO22	CS1	down
ARL4A;CTD-2320J21.1	CS1	down
DIP2B	CS1	down
CCT5;CTD-2256P15.1;FAM173B	CS1	down
PTOV1;PTOV1-AS1	CS1	down
SEPHS2	CS1	down
RP11-511B23.2	CS1	down
NLRP8	CS1	down
COQ3	CS1	down
PHF14	CS1	down
MSRA	CS1	down
SMPD1	CS1	down
CDYL2	CS1	down
USP12	CS1	down
GRIN3B	CS1	down
GNPNAT1	CS1	down
RP11-428C19.4	CS1	down
LINC00582;TSNAX-DISC1	CS1	down
RP11-448A19.1	CS1	down
CUL9	CS1	down
AC104534.3;ECH1	CS1	down
MGC16275	CS1	down
ODF1	CS1	down
RP11-587H10.1	CS1	down
C2orf61;RP11-761B3.1	CS1	down
ADAM10	CS1	down
AC144449.1;MMADHC	CS1	down
CTC-273B12.7;KCNJ14	CS1	down
RP11-390P2.4	CS1	down
PEX19;RP11-574F21.3	CS1	down
NLRP11;NLRP4	CS1	down
MALRD1	CS1	down
NKAIN3;UG0898H09	CS1	down
TTC33	CS1	down
RP11-161H23.5;TUBA1C	CS1	down
LINC01300	CS1	down
LRCH1	CS1	down
SEC23B	CS1	down
SLC8A1-AS1	CS1	down
CNBD1	CS1	down
MRPS14;Y_RNA	CS1	down
IFRD1;LSMEM1	CS1	down
BBS12	CS1	down
RP11-390N6.1;SYT1	CS1	down
RP1-281E18.1	CS1	down
DOK6;RP11-465I4.3	CS1	down
AC010967.2	CS1	down
IMMT	CS1	down
PEAR1	CS2	down
DLEU7;DLEU7-AS1	CS2	down
CHRNA4;RP11-261N11.8	CS2	down
INSRR;NTRK1	CS2	down
TULP1	CS2	down
DIDO1;RP4-563E14.1	CS2	down
HNRNPA1P30	CS2	down
CTDSP1;MIR26B	CS2	down
PBX2	CS2	down
GAL3ST3	CS2	down
SCN2B	CS2	down
BOLL	CS2	down
RP4-738P15.1	CS2	down
RP11-455F5.3;YPEL3	CS2	down
KCP	CS2	down
LMX1B	CS2	down
BTG2	CS2	down
PHF12	CS2	down
RESP18	CS2	down
FENDRR	CS2	down
RP3-412A9.16;SMTN	CS2	down
CIT;MIR1178	CS2	down
LDB1	CS2	down
TMEM9B;TMEM9B-AS1	CS2	down
PIK3R2	CS2	down
LINC01391	CS2	down
LBX1-AS1	CS2	down
GSTM2;GSTM4	CS2	down
WT1-AS;WT1-AS_6;WT1-AS_7	CS2	down
SBNO2	CS2	down
HIST3H2BA	CS2	down
COX4I2	CS2	down
AC106782.20;BCL7C;MIR762;MIR762HG	CS2	down
DAXX	CS2	down
AES	CS2	down
CTD-2555C10.3	CS2	down
DNHD1;TIMM10B	CS2	down
MIR424;MIR503;MIR503HG	CS2	down
EGR1	CS2	down
PAX5;RP11-297B17.3	CS2	down
PKLR	CS2	down
SYCN	CS2	down
LCNL1	CS2	down
AC002472.11;SLC7A4	CS2	down
GUCA1A	CS2	down
IFNL4P1	CS2	down
NUDT22;TRPT1	CS2	down
CECR1	CS2	down
FKBP15	CS2	down
MSI1	CS2	down
STK32B	CS2	down
AC061961.2;KCNJ3	CS2	down
GHSR	CS2	down
GPR144	CS2	down
GAL3ST2	CS2	down
CTD-2377D24.4	CS2	down
ST8SIA3	CS2	down
SST	CS2	down
L1TD1	CS2	down
RASGRP2	CS2	down
NBPF13P;RNVU1-8	CS2	down
CTD-2311M21.3;CYP11A1	CS2	down
PPFIA3	CS2	down
TNFSF12;TNFSF12-TNFSF13	CS2	down
LINC00554	CS2	down
CNTFR;CNTFR-AS1	CS2	down
KLF16	CS2	down
AC079135.1;ASB18	CS2	down
C5orf66;C5orf66-AS1	CS2	down
CDC37;PDE4A	CS2	down
AC009487.5;SLC4A10	CS2	down
ALKBH5	CS2	down
PI4KB	CS2	down
RP11-361L15.4	CS2	down
DRD4	CS2	down
AC108142.1;TENM3	CS2	down
PRKAR1B	CS2	down
HOXC13	CS2	down
KCNQ1-AS1	CS2	down
ONECUT2	CS2	down
HOXB13;MIR3185	CS2	down
AQPEP	CS2	down
LPAR1	CS2	down
CCDC157;SF3A1	CS2	down
HOTAIR;HOTAIR_3	CS2	down
CTC-260F20.3;NDUFA13;YJEFN3	CS2	down
MROH6	CS2	down
AP000892.6;TAGLN	CS2	down
CHD4	CS2	down
SMTN	CS2	down
HOTTIP;HOTTIP_3	CS2	down
AHSA2	CS2	down
AC007041.2	CS2	down
CIRBP;CIRBP-AS1	CS2	down
PGR	CS2	down
IGSF21;RP11-174G17.3	CS2	down
HOTAIRM1;HOTAIRM1_2;HOTAIRM1_3	CS2	down
NAV2	CS2	down
RP11-79P5.3	CS2	down
TMC2	CS2	down
